Context;Instance;Reference;ar;es;it;nb;pl;pt;ru;zh;en;fr
FolderName;"\Samples";"\Samples";;;;;;;;;;
FolderName;"\Samples\01-Tasks";"01-Tasks";;;;;;;;;;
FolderName;"\Samples\01-Tasks";"\Samples\01-Tasks";;;;;;;;;;
FolderName;"\Samples\02-LINQ";"02-LINQ";;;;;;;;;;
FolderName;"\Samples\02-LINQ";"\Samples\02-LINQ";;;;;;;;;;
FolderName;"\Samples\03-Input Values";"03-Input Values";;;;;;;;;;
FolderName;"\Samples\03-Input Values";"\Samples\03-Input Values";;;;;;;;;;
FolderName;"\Samples\04-MS SQLServer";"04-MS SQLServer";;;;;;;;;;
FolderName;"\Samples\04-MS SQLServer";"\Samples\04-MS SQLServer";;;;;;;;;;
FolderName;"\Samples\05-Scripts";"05-Scripts";;;;;;;;;;
FolderName;"\Samples\05-Scripts";"\Samples\05-Scripts";;;;;;;;;;
FolderName;"\Samples\06-ETL Tasks";"06-ETL Tasks";;;;;;;;;;
FolderName;"\Samples\06-ETL Tasks";"\Samples\06-ETL Tasks";;;;;;;;;;
FolderName;"\System";"System";;;;;;;;;;
FolderName;"\System";"\System";;;;;;;;;;
FolderName;"\work";"work";;;;;;;;;;
FolderName;"\work";"\work";;;;;;;;;;
FolderName;"\work\6.0";"6.0";;;;;;;;;;
FolderName;"\work\6.0";"\work\6.0";;;;;;;;;;
FolderName;"\work\6.0\bonhote";"bonhote";;;;;;;;;;
FolderName;"\work\6.0\bonhote";"\work\6.0\bonhote";;;;;;;;;;
FolderName;"\work\6.0\bug";"bug";;;;;;;;;;
FolderName;"\work\6.0\bug";"\work\6.0\bug";;;;;;;;;;
FolderName;"\work\6.0\bug\_..OLD45&lt";"_..OLD45&lt";;;;;;;;;;
FolderName;"\work\6.0\bug\_..OLD45&lt";"\work\6.0\bug\_..OLD45&lt";;;;;;;;;;
FolderName;"\work\6.0\bug3";"bug3";;;;;;;;;;
FolderName;"\work\6.0\bug3";"\work\6.0\bug3";;;;;;;;;;
