Context;Instance;Reference;en;fr;it;pt;nb
FolderName;"\Samples";"Samples";;;;;
FolderPath;"\Samples";"\Samples";;;;;
FolderName;"\work";"work";;;;;
FolderPath;"\work";"\work";;;;;
FolderName;"\work\aaa";"aaa";;;;;
FolderPath;"\work\aaa";"\work\aaa";;;;;
FolderName;"\work\aaa - Copy";"aaa - Copy";;;;;
FolderPath;"\work\aaa - Copy";"\work\aaa - Copy";;;;;
FolderName;"\work\aaa - Copy (10)";"aaa - Copy (10)";;;;;
FolderPath;"\work\aaa - Copy (10)";"\work\aaa - Copy (10)";;;;;
FolderName;"\work\aaa - Copy (11)";"aaa - Copy (11)";;;;;
FolderPath;"\work\aaa - Copy (11)";"\work\aaa - Copy (11)";;;;;
FolderName;"\work\aaa - Copy (12)";"aaa - Copy (12)";;;;;
FolderPath;"\work\aaa - Copy (12)";"\work\aaa - Copy (12)";;;;;
FolderName;"\work\aaa - Copy (13)";"aaa - Copy (13)";;;;;
FolderPath;"\work\aaa - Copy (13)";"\work\aaa - Copy (13)";;;;;
FolderName;"\work\aaa - Copy (13) - Copy";"aaa - Copy (13) - Copy";;;;;
FolderPath;"\work\aaa - Copy (13) - Copy";"\work\aaa - Copy (13) - Copy";;;;;
FolderName;"\work\aaa - Copy (14) - Copy";"aaa - Copy (14) - Copy";;;;;
FolderPath;"\work\aaa - Copy (14) - Copy";"\work\aaa - Copy (14) - Copy";;;;;
FolderName;"\work\aaa - Copy (15) - Copy";"aaa - Copy (15) - Copy";;;;;
FolderPath;"\work\aaa - Copy (15) - Copy";"\work\aaa - Copy (15) - Copy";;;;;
FolderName;"\work\aaa - Copy (16) - Copy";"aaa - Copy (16) - Copy";;;;;
FolderPath;"\work\aaa - Copy (16) - Copy";"\work\aaa - Copy (16) - Copy";;;;;
FolderName;"\work\aaa - Copy (17) - Copy";"aaa - Copy (17) - Copy";;;;;
FolderPath;"\work\aaa - Copy (17) - Copy";"\work\aaa - Copy (17) - Copy";;;;;
FolderName;"\work\aaa - Copy (18) - Copy";"aaa - Copy (18) - Copy";;;;;
FolderPath;"\work\aaa - Copy (18) - Copy";"\work\aaa - Copy (18) - Copy";;;;;
FolderName;"\work\aaa - Copy (19) - Copy";"aaa - Copy (19) - Copy";;;;;
FolderPath;"\work\aaa - Copy (19) - Copy";"\work\aaa - Copy (19) - Copy";;;;;
FolderName;"\work\aaa - Copy (2)";"aaa - Copy (2)";;;;;
FolderPath;"\work\aaa - Copy (2)";"\work\aaa - Copy (2)";;;;;
FolderName;"\work\aaa - Copy (20) - Copy";"aaa - Copy (20) - Copy";;;;;
FolderPath;"\work\aaa - Copy (20) - Copy";"\work\aaa - Copy (20) - Copy";;;;;
FolderName;"\work\aaa - Copy (21) - Copy";"aaa - Copy (21) - Copy";;;;;
FolderPath;"\work\aaa - Copy (21) - Copy";"\work\aaa - Copy (21) - Copy";;;;;
FolderName;"\work\aaa - Copy (22) - Copy";"aaa - Copy (22) - Copy";;;;;
