Context;Instance;Reference;en;fr;it;pt;nb
Element;"Customers.Address";"Address";;;;;
Element;"Customers.City";"City";;;;;
Element;"Customers.Customer";"Customer";;;;;
Element;"Customers.Customer Contact";"Customer Contact";;;;;
Element;"Customers.Contact Title";"Contact Title";;;;;
Element;"Customers.Customer Country";"Customer Country";;;;;
Element;"Customers.Fax";"Fax";;;;;
Element;"Customers.Phone";"Phone";;;;;
Element;"Customers.Postal Code";"Postal Code";;;;;
Element;"Customers.Region";"Region";;;;;
Element;"Customers.Customer ID";"Customer ID";;;;;
Element;"Employees.Address";"Address";;;;;
Element;"Employees.Birth Date";"Birth Date";;;;;
Element;"Employees.City";"City";;;;;
Element;"Employees.Country";"Country";;;;;
Element;"Employees.Extension";"Extension";;;;;
Element;"Employees.Employee Name";"Employee Name";;;;;
Element;"Employees.Hire Date";"Hire Date";;;;;
Element;"Employees.Home Phone";"Home Phone";;;;;
Element;"Employees.Notes";"Notes";;;;;
Element;"Employees.Photo";"Photo";;;;;
Element;"Employees.Postal Code";"Postal Code";;;;;
Element;"Employees.Region";"Region";;;;;
Element;"Employees.Reports To";"Reports To";;;;;
Element;"Employees.Title";"Title";;;;;
Element;"Employees.Title Of Courtesy";"Title Of Courtesy";;;;;
Element;"Employees.Employee ID";"Employee ID";;;;;
Element;"Employees.First Name";"First Name";;;;;
Element;"Orders/Shipping.Freight";"Freight";;;;;
Element;"Orders.Order Date";"Order Date";;;;;
Element;"Orders.Order ID";"Order ID";;;;;
Element;"Orders.Required Date";"Required Date";;;;;
Element;"Orders/Shipping.Ship Address";"Ship Address";;;;;
Element;"Orders/Shipping.Ship City";"Ship City";;;;;
Element;"Orders/Shipping.Ship Country";"Ship Country";;;;;
Element;"Orders/Shipping.Ship Name";"Ship Name";;;;;
Element;"Orders/Shipping.Shipped Date";"Shipped Date";;;;;
Element;"Orders/Shipping.Ship Postal Code";"Ship Postal Code";;;;;
Element;"Orders/Shipping.Ship Region";"Ship Region";;;;;
Element;"Orders/Shipping.Ship Via";"Ship Via";;;;;
Element;"Orders.Order Year";"Order Year";;;;;
Element;"Orders.Order Month";"Order Month";;;;;
Element;"Products.Discontinued";"Discontinued";;;;;
Element;"Products.Product Name";"Product Name";;;;;
Element;"Products.Quantity Per Unit";"Quantity Per Unit";;;;;
Element;"Products.Reorder Level";"Reorder Level";;;;;
Element;"Products.Unit Price";"Unit Price";;;;;
Element;"Products.Units In Stock";"Units In Stock";;;;;
Element;"Products.Units On Order";"Units On Order";;;;;
Element;"Products.Category";"Category";;;;;
Element;"Products.Product ID";"Product ID";;;;;
Element;"Shippers.Shipper";"Shipper";;;;;
Element;"Shippers.Phone";"Phone";;;;;
Element;"Shippers.Shipper ID";"Shipper ID";;;;;
Element;"Suppliers.Address";"Address";;;;;
Element;"Suppliers.City";"City";;;;;
Element;"Suppliers.Supplier";"Supplier";;;;;
Element;"Suppliers.Contact Name";"Contact Name";;;;;
Element;"Suppliers.Contact Title";"Contact Title";;;;;
Element;"Suppliers.Supplier Country";"Supplier Country";;;;;
Element;"Suppliers.Fax";"Fax";;;;;
Element;"Suppliers.Home Page";"Home Page";;;;;
Element;"Suppliers.Phone";"Phone";;;;;
Element;"Suppliers.Postal Code";"Postal Code";;;;;
Element;"Suppliers.Region";"Region";;;;;
Element;"Suppliers.Supplier ID";"Supplier ID";;;;;
Element;"Order Details.Discount Rate";"Discount Rate";;;;;
Element;"Order Details.Quantity";"Quantity";;;;;
Element;"Order Details.Unit Price";"Unit Price";;;;;
Element;"Order Details.Amount";"Amount";;;;;
Element;"Order Details.Discount";"Discount";;;;;
Enum;"Category";"Beverages";;;;;
Enum;"Category";"Condiments";;;;;
Enum;"Category";"Confections";;;;;
Enum;"Category";"Dairy Products";;;;;
Enum;"Category";"Grains/Cereals";;;;;
Enum;"Category";"Meat/Poultry";;;;;
Enum;"Category";"Produce";;;;;
Enum;"Category";"Seafood";;;;;
SubReport;"Customers.Customer";Customer Detail;;;;;
SubReport;"Employees.Employee Name";Employee Detail;;;;;
SubReport;"Orders.Order ID";Order Detail;;;;;
SubReport;"Products.Product Name";Product Detail;;;;;
SubReport;"Suppliers.Supplier";Supplier Detail;;;;;
