Context;Reference;ar
Report;!=;!=
Report;# of % selected;# من % محدد
Report;(filtered from _MAX_);(تمت التصفية من _MAX_)
Report;<;<
Report;<=;<=
Report;=;=
Report;>;>
Report;>=;>=
Report;A value is required for;القيمة مطلوبة لـ
Report;All;الكل
Report;All selected;الكل محدد
Report;and;و
Report;Auto Fit columns;احتواء الأعمدة تلقائيًا
Report;Auto Scroll enabled;التمرير التلقائي مفعّل
Report;Average of;متوسط
Report;Back to top;العودة إلى الأعلى
Report;Between;بين
Report;Cancel;إلغاء
Report;Cancelling report...;جارٍ إلغاء التقرير...
Report;Charts;الرسوم البيانية
Report;Clear selection;مسح التحديد
Report;Close;إغلاق
Report;Contains;يحتوي على
Report;Contains all;يحتوي على الكل
Report;Contains any;يحتوي على أي
Report;Count Distinct of;عدد القيم المميزة لـ
Report;Count of;عدد
Report;Decrement;إنقاص
Report;Description;الوصف
Report;Display header footer;عرض رأس وتذييل الصفحة
Report;Display: Execution messages;عرض: رسائل التنفيذ
Report;Display: Execution messages;عرض: رسائل التنفيذ
Report;Display: Information messages;عرض: رسائل المعلومات
Report;Display: Information messages;عرض: رسائل المعلومات
Report;Does not contain;لا يحتوي على
Report;Does not contain all;لا يحتوي على الكل
Report;Does not contain any;لا يحتوي على أي
Report;Drill <;تنقيب <
Report;Drill >;تنقيب >
Report;Duration;المدة
Report;Duration (seconds);المدة (بالثواني)
Report;Email sent to '{0}';تم إرسال البريد الإلكتروني إلى '{0}'
Report;Ends with;ينتهي بـ
Report;Equals;يساوي
Report;Execute;تنتهي بـ
Report;Executing report...;جارٍ تنفيذ التقرير...
Report;Execution date;تاريخ التنفيذ
Report;Execution duration;مدة التنفيذ
Report;execution messages;رسائل التنفيذ
Report;Export messages...;تصدير الرسائل...
Report;Filter:;تصفية:
Report;Go to today;الانتقال إلى اليوم
Report;Goal;الهدف
Report;Hide;إخفاء
Report;HTML Print: Show messages;طباعة HTML: إظهار الرسائل
Report;HTML Print: Show messages;طباعة HTML: إظهار الرسائل
Report;HTML Print: Show report information;طباعة HTML: إظهار معلومات التقرير
Report;HTML Print: Show report information;طباعة HTML: إظهار معلومات التقرير
Report;HTML to PDF;HTML إلى PDF
Report;Increment;زيادة
Report;Information;معلومات
Report;Information panel enabled;لوحة المعلومات مفعّلة
Report;Information panel enabled and shown;لوحة المعلومات مفعّلة ومعروضة
Report;Information panel hidden;لوحة المعلومات مخفية
Report;Invalid date;تاريخ غير صالح
Report;Invalid numeric value;قيمة رقمية غير صالحة
Report;Is between;يقع بين
Report;Is Blank;فارغ
Report;Is different from;يختلف عن
Report;Is empty;خالٍ
Report;Is greater or equal than;أكبر من أو يساوي
Report;Is greater than;أكبر من
Report;Is not between;ليس بين
Report;Is Not Blank;غير فارغ
Report;Is not empty;ليس خاليًا
Report;Is not Null;ليس Null
Report;Is Null;هو Null
Report;Is smaller or equal than;أصغر من أو يساوي
Report;Is smaller than;أصغر من
Report;Landscape;أفقي
Report;Logs;السجلات
Report;Maximum of;الحد الأقصى لـ
Report;Messages;رسائل
Report;Messages panel enabled;لوحة الرسائل مفعّلة
Report;Messages panel enabled and shown;لوحة الرسائل مفعّلة ومعروضة
Report;Messages panel enabled and shown only during execution;لوحة الرسائل مفعّلة ومعروضة أثناء التنفيذ فقط
Report;Messages panel hidden;لوحة الرسائل مخفية
Report;Minimum of;الحد الأدنى لـ
Report;Model;النموذج
Report;Model loaded...;تم تحميل النموذج...
Report;Models loaded...;تم تحميل النماذج...
Report;New report;تقرير جديد
Report;Next Century;القرن التالي
Report;Next Decade;العقد التالي
Report;Next Month;الشهر التالي
Report;Next Year;السنة التالية
Report;No;لا
Report;No records;لا توجد سجلات
Report;No records. The report output generation has been cancelled.;لا توجد سجلات. تم إلغاء إنشاء مخرجات التقرير.
Report;No reports;لا توجد تقارير
Report;No rows;لا توجد صفوف
Report;Not Between;ليس بين
Report;Not Contains;لا يحتوي على
Report;Now;الآن
Report;Options;الخيارات
Report;or;أو
Report;Page;الصفحة
Report;"Page &p; of &P;";"الصفحة &p; من &P;"
Report;Page orientation;اتجاه الصفحة
Report;Page size;حجم الصفحة
Report;Pages;الصفحات
Report;Pick Hour;اختيار الساعة
Report;Pick Minute;اختيار الدقيقة
Report;Pick Second;اختيار الثانية
Report;Please enter a value;يرجى إدخال قيمة
Report;Please enter at least a value;يرجى إدخال قيمة واحدة على الأقل
Report;Please find the report '{0}' in attachment.;يرجى الاطلاع على التقرير '{0}' في المرفق.
Report;Please find your authentication code;يرجى الاطلاع على رمز المصادقة الخاص بك
Report;Please wait, the report result is being generated in another window;يرجى الانتظار، تتم الآن معالجة نتيجة التقرير في نافذة أخرى
Report;Previous Century;القرن السابق
Report;Previous Decade;العقد السابق
Report;Previous Month;الشهر السابق
Report;Previous Year;السنة السابقة
Report;Print: Page orientation;الطباعة: اتجاه الصفحة
Report;Print: Show logo;الطباعة: إظهار الشعار
Report;Processing;جارٍ المعالجة
Report;Processing...;جارٍ المعالجة...
Report;Records;السجلات
Report;Refresh;تحديث
Report;Report;التقرير
Report;Report description;وصف التقرير
Report;Report has been cancelled;تم إلغاء التقرير
Report;report information;معلومات التقرير
Report;report restrictions;قيود التقرير
Report;Report result generated in '{0}';تم إنشاء نتيجة التقرير في '{0}'
Report;Report result options;خيارات نتيجة التقرير
Report;report result panel;لوحة نتيجة التقرير
Report;Report summary;ملخص التقرير
Report;Restrictions;القيود
Report;Results;النتائج
Report;Scale;المقياس
Report;second;ثانية
Report;seconds;ثوانٍ
Report;Select all;تحديد الكل
Report;Select Decade;اختيار العقد
Report;Select Month;اختيار الشهر
Report;Select Time;اختيار الوقت
Report;Select Year;اختيار السنة
Report;Show;إظهار
Report;Show _MENU_ reports;إظهار _MENU_ تقارير
Report;Show _MENU_ rows;إظهار _MENU_ صفوف
Report;Show messages;إظهار الرسائل
Report;Show messages;إظهار الرسائل
Report;Show report information;إظهار معلومات التقرير
Report;Show report information;إظهار معلومات التقرير
Report;Show/Hide Restrictions;إظهار/إخفاء القيود
Report;Showing _START_ to _END_ of _TOTAL_;عرض _START_ إلى _END_ من _TOTAL_
Report;Showing 0 to 0 of 0;عرض 0 إلى 0 من 0
Report;Starting execution...;جارٍ بدء التنفيذ...
Report;Starts with;يبدأ بـ
Report;Subtotal;مجموع فرعي
Report;Sum of;مجموع
Report;Summary;الملخص
Report;Table of Contents;جدول المحتويات
Report;Tabs to show;علامات التبويب المراد عرضها
Report;Task executed...;تم تنفيذ المهمة...
Report;Tasks executed...;تم تنفيذ المهام...
Report;The report has been generated.;تم إنشاء التقرير.
Report;This report has execution errors. Please check details in the Logs Files...;يحتوي هذا التقرير على أخطاء في التنفيذ. يرجى التحقق من التفاصيل في ملفات السجلات...
Report;ThisHour;هذه الساعة
Report;ThisMinute;هذه الدقيقة
Report;ThisMonth;هذا الشهر
Report;ThisQuarter;هذا الربع
Report;ThisSemester;هذا النصف
Report;ThisWeek;هذا الأسبوع
Report;ThisYear;هذه السنة
Report;Today;اليوم
Report;Toggle Period;تبديل الفترة
Report;Total;الإجمالي
Report;Use the date format '{0}' or one of the following keywords:;استخدم تنسيق التاريخ '{0}' أو إحدى الكلمات المفتاحية التالية:
Report;View;عرض
Report;View CSV Result;عرض نتيجة CSV
Report;View Excel Converter Result;عرض نتيجة محوّل Excel
Report;View Excel Result;عرض نتيجة Excel
Report;View HTML Print Result;عرض نتيجة طباعة HTML
Report;View HTML Result;عرض نتيجة HTML
Report;View HTML to PDF Result;عرض نتيجة HTML إلى PDF
Report;View Json Result;عرض نتيجة Json
Report;View PDF Converter Result;عرض نتيجة محوّل PDF
Report;View PDF Result;عرض نتيجة PDF
Report;View report result file;عرض ملف نتيجة التقرير
Report;View Text Result;عرض النتيجة النصية
Report;View XML Result;عرض نتيجة XML
